created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 04 14:57:41 +0000 2024;1754157283129561539;"ganjar mantep banget closingannya anjrit bener2 gen banteng";0;0;0;0;in;1301392234797965312;1754157283129561539;aintaballerina;https://twitter.com/aintaballerina/status/1754157283129561539
Sun Feb 04 14:57:41 +0000 2024;1754157282194280821;"GANJAR NYINDIR PRABOWO JOKOWI WKWKWKWKKW 😭😭😭😭😭";0;0;0;0;in;1470069659147796483;1754157282194280821;skizofania;https://twitter.com/skizofania/status/1754157282194280821
Sun Feb 04 14:57:41 +0000 2024;1754157281816784897;"@liputan6dotcom 2024 bersama Ganjar-Mahfud 🔥🔥🔥";0;0;0;0;in;1569249905251876865;1754070179838148660;AwanKaka7;https://twitter.com/AwanKaka7/status/1754157281816784897
Sun Feb 04 14:57:41 +0000 2024;1754157281640661033;"@abigailfabyan km pilih ganjar kh?";0;0;0;0;in;47553044;1754157112291401870;WilliamHandoko;https://twitter.com/WilliamHandoko/status/1754157281640661033
Sun Feb 04 14:57:41 +0000 2024;1754157281401598426;"Pak ganjar all out banget di pernyataan penutup😭 sip pak";0;0;0;0;in;1328826917458329600;1754157281401598426;angin_kecill;https://twitter.com/angin_kecill/status/1754157281401598426
Sun Feb 04 14:57:41 +0000 2024;1754157280688488856;"Terimakasih Pak Ganjar,Udah ngajarin Pak Prabowo..🤭🤭🤭🤭 https://t.co/LdPR6UphG3";0;0;0;0;in;1411556537588359180;1754157280688488856;hardye76;https://twitter.com/hardye76/status/1754157280688488856
Sun Feb 04 14:57:40 +0000 2024;1754157280466203074;"@kompascom Sudah seharusnya aparat polri bersikap netral, siap dukung selalu Pak Ganjar Pranowo dan pak Mahfud MD";0;0;0;0;in;1712428507127848960;1754079370338296036;Saripphidayat;https://twitter.com/Saripphidayat/status/1754157280466203074
Sun Feb 04 14:57:40 +0000 2024;1754157279891554392;"Rekap #DebatCapres 5:  Sesi 1-2 Semua: Setuju, sepakat, bagus, dukung!  Sesi sisanya Prabowo: Program aku bagus ndak? Anies dan Ganjar: Maaf gk dulu pak. Kita mau ngomongin bansos dulu 🤭  Dah gt aja, ndak seru.   Oiya, Pak Prabs bagus hari ini tapi maaf ku tetap #AsalBukan02 🫶";0;0;0;0;in;75470878;1754157279891554392;anshariluthfi;https://twitter.com/anshariluthfi/status/1754157279891554392
Sun Feb 04 14:57:40 +0000 2024;1754157279698726918;"Penutupan dari pak ganjar keren bnget tolong . Nampolnya kemana2";0;0;0;0;in;1642040480300150784;1754157279698726918;putripangarep;https://twitter.com/putripangarep/status/1754157279698726918
Sun Feb 04 14:57:40 +0000 2024;1754157278264230127;"@giaozanitha Betul sekali, udah minta maaf masih ke jebret ama pak ganjar wkwk";0;0;0;0;in;1262293559874433024;1754155531013681549;ZwageryK;https://twitter.com/ZwageryK/status/1754157278264230127
